Location,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Alabama,31.0,39.0,57.0,53.0,43.0,37.0,44.0,32.0,56.0,74.0,98.0,101.0,115.0
Alaska,,,21.0,18.0,17.0,,14.0,,23.0,13.0,22.0,,12.0
Arizona,116.0,116.0,112.0,112.0,116.0,106.0,107.0,102.0,106.0,148.0,147.0,185.0,232.0
Arkansas,37.0,34.0,54.0,45.0,47.0,46.0,40.0,31.0,50.0,59.0,43.0,38.0,55.0
California,341.0,368.0,375.0,403.0,349.0,348.0,290.0,332.0,320.0,342.0,331.0,380.0,432.0
Colorado,84.0,93.0,78.0,82.0,65.0,95.0,89.0,84.0,115.0,98.0,123.0,130.0,112.0
Connecticut,66.0,76.0,58.0,57.0,63.0,47.0,49.0,92.0,136.0,146.0,195.0,230.0,244.0
Delaware,12.0,13.0,18.0,22.0,,18.0,16.0,,,29.0,30.0,63.0,103.0
District of Columbia,14.0,,,,10.0,,13.0,,,10.0,,,27.0
Florida,300.0,354.0,329.0,345.0,369.0,338.0,280.0,279.0,315.0,442.0,716.0,840.0,840.0
Georgia,93.0,100.0,96.0,111.0,126.0,132.0,131.0,125.0,157.0,189.0,195.0,232.0,230.0
Hawaii,,17.0,,11.0,,16.0,,,,12.0,15.0,,14.0
Idaho,20.0,,,,,18.0,,,,28.0,29.0,,22.0
Illinois,261.0,191.0,221.0,224.0,214.0,199.0,241.0,217.0,282.0,324.0,462.0,485.0,505.0
Indiana,41.0,63.0,88.0,70.0,54.0,80.0,89.0,84.0,110.0,117.0,186.0,306.0,295.0
Iowa,,22.0,35.0,38.0,39.0,41.0,45.0,47.0,36.0,44.0,39.0,41.0,31.0
Kansas,32.0,30.0,21.0,44.0,24.0,28.0,42.0,37.0,28.0,,32.0,31.0,40.0
Kentucky,89.0,79.0,105.0,126.0,179.0,201.0,157.0,166.0,182.0,248.0,307.0,353.0,271.0
Louisiana,42.0,53.0,30.0,30.0,32.0,,34.0,72.0,61.0,78.0,92.0,119.0,130.0
Maine,26.0,19.0,26.0,27.0,,,,,38.0,58.0,84.0,96.0,85.0
Maryland,170.0,183.0,134.0,126.0,119.0,103.0,132.0,145.0,183.0,238.0,374.0,417.0,448.0
Massachusetts,181.0,183.0,157.0,141.0,137.0,155.0,169.0,214.0,270.0,384.0,498.0,466.0,517.0
Michigan,150.0,118.0,144.0,175.0,139.0,168.0,126.0,182.0,228.0,285.0,407.0,455.0,472.0
Minnesota,40.0,54.0,53.0,74.0,50.0,61.0,49.0,56.0,81.0,73.0,87.0,84.0,64.0
Mississippi,,,,,,28.0,,,19.0,35.0,40.0,44.0,43.0
Missouri,114.0,103.0,122.0,108.0,137.0,140.0,131.0,158.0,155.0,151.0,227.0,256.0,300.0
Montana,10.0,12.0,22.0,21.0,18.0,,,16.0,,13.0,,,16.0
Nebraska,,15.0,,16.0,21.0,,13.0,,16.0,,10.0,,15.0
Nevada,91.0,85.0,90.0,96.0,95.0,87.0,82.0,64.0,64.0,75.0,71.0,74.0,64.0
New Hampshire,31.0,33.0,21.0,28.0,,34.0,34.0,33.0,62.0,99.0,107.0,95.0,109.0
New Jersey,117.0,124.0,82.0,,94.0,98.0,142.0,133.0,156.0,178.0,292.0,419.0,641.0
New Mexico,60.0,54.0,76.0,50.0,38.0,51.0,84.0,76.0,98.0,84.0,77.0,76.0,76.0
New York,293.0,258.0,255.0,253.0,244.0,278.0,307.0,312.0,357.0,447.0,622.0,702.0,636.0
North Carolina,177.0,204.0,219.0,227.0,180.0,194.0,198.0,221.0,252.0,278.0,375.0,479.0,466.0
North Dakota,,,10.0,,,,,,10.0,,13.0,,14.0
Ohio,181.0,179.0,208.0,161.0,275.0,288.0,339.0,372.0,534.0,711.0,915.0,1136.0,915.0
Oklahoma,113.0,124.0,92.0,122.0,122.0,95.0,107.0,100.0,95.0,93.0,106.0,93.0,58.0
Oregon,88.0,83.0,85.0,84.0,69.0,98.0,76.0,72.0,62.0,66.0,66.0,71.0,90.0
Pennsylvania,117.0,108.0,139.0,146.0,138.0,157.0,172.0,212.0,245.0,301.0,511.0,636.0,749.0
Rhode Island,41.0,21.0,36.0,29.0,,,30.0,39.0,51.0,46.0,55.0,70.0,78.0
South Carolina,55.0,54.0,43.0,52.0,56.0,58.0,55.0,63.0,118.0,118.0,153.0,174.0,208.0
South Dakota,,,,,12.0,10.0,,,,,,,
Tennessee,117.0,128.0,136.0,142.0,149.0,171.0,195.0,198.0,214.0,260.0,279.0,307.0,330.0
Texas,283.0,242.0,238.0,254.0,223.0,229.0,233.0,210.0,240.0,235.0,259.0,301.0,300.0
Utah,68.0,84.0,59.0,94.0,73.0,88.0,89.0,91.0,117.0,112.0,130.0,109.0,100.0
Vermont,16.0,21.0,,,,16.0,,,,,,28.0,33.0
Virginia,129.0,149.0,140.0,130.0,100.0,152.0,142.0,143.0,193.0,213.0,273.0,308.0,325.0
Washington,166.0,160.0,146.0,161.0,118.0,158.0,126.0,137.0,126.0,122.0,143.0,128.0,147.0
West Virginia,69.0,90.0,103.0,43.0,131.0,163.0,153.0,125.0,147.0,178.0,218.0,240.0,194.0
Wisconsin,90.0,102.0,90.0,78.0,93.0,90.0,107.0,126.0,131.0,136.0,212.0,223.0,199.0
Wyoming,,,11.0,,13.0,10.0,,13.0,,11.0,13.0,12.0,
