Location,0-24,25-34,35-44,45-54,55+,Total
United States,3683,N/A,11414,9565,9290,46802
Alabama,27,95,115,72,72,381
Alaska,N/A,14,12,15,21,68
Arizona,185,283,232,179,227,1106
Arkansas,23,48,55,48,34,208
California,226,610,432,456,686,2410
Colorado,60,159,112,96,137,564
Connecticut,68,220,244,230,186,948
Delaware,16,102,103,69,65,355
District of Columbia,N/A,16,27,44,101,191
Florida,187,898,840,653,611,3189
Georgia,68,220,230,165,183,866
Hawaii,N/A,11,14,14,18,59
Idaho,11,39,22,21,27,120
Illinois,172,531,505,497,462,2169
Indiana,103,328,295,197,181,1104
Iowa,17,49,31,21,25,143
Kansas,13,38,40,32,33,156
Kentucky,72,273,271,215,158,989
Louisiana,27,125,130,85,77,444
Maine,12,80,85,64,41,282
Maryland,119,511,448,488,521,2087
Massachusetts,113,630,517,414,317,1991
Michigan,129,533,472,434,443,2011
Minnesota,42,108,64,71,58,343
Mississippi,N/A,41,43,45,36,173
Missouri,133,329,300,186,184,1132
Montana,N/A,14,16,N/A,18,64
Nebraska,N/A,17,15,N/A,17,63
Nevada,16,79,64,84,129,372
New Hampshire,31,133,109,91,48,412
New Jersey,197,739,641,568,437,2583
New Mexico,35,75,76,67,85,338
New York,221,829,636,671,631,2991
North Carolina,167,541,466,351,257,1783
North Dakota,N/A,12,14,N/A,N/A,36
Ohio,232,951,915,610,529,3237
Oklahoma,25,80,58,56,89,308
Oregon,20,81,90,59,89,339
Pennsylvania,218,873,749,550,473,2866
Rhode Island,17,61,78,48,63,267
South Carolina,77,206,208,175,168,835
South Dakota,N/A,N/A,N/A,N/A,N/A,28
Tennessee,97,352,330,299,229,1307
Texas,149,358,300,270,325,1402
Utah,45,100,100,94,98,437
Vermont,N/A,44,33,28,15,127
Virginia,90,342,325,240,196,1193
Washington,71,182,147,139,198,737
West Virginia,48,193,194,154,113,702
Wisconsin,56,268,199,168,155,846
Wyoming,N/A,10,N/A,N/A,15,40
