Location,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic,Total
United States,15506,1319,1361,18516
Alabama,151,NSD,NSD,165
Alaska,11,NSD,NSD,15
Arizona,361,13,77,461
Arkansas,144,NSD,NSD,148
California,1220,88,306,1657
Colorado,287,19,42,353
Connecticut,205,14,25,244
Delaware,42,NSD,NSD,45
District of Columbia,NSD,NSD,NSD,29
Florida,1296,45,124,1473
Georgia,348,NSD,NSD,385
Hawaii,50,NSD,NSD,78
Idaho,58,NSD,NSD,62
Illinois,481,148,54,691
Indiana,228,NSD,NSD,241
Iowa,105,NSD,NSD,107
Kansas,108,NSD,NSD,117
Kentucky,336,NSD,NSD,343
Louisiana,196,NSD,NSD,212
Maine,99,NSD,NSD,102
Maryland,409,NSD,NSD,600
Massachusetts,576,23,45,649
Michigan,418,62,18,506
Minnesota,151,NSD,NSD,180
Mississippi,90,NSD,NSD,95
Missouri,357,NSD,NSD,390
Montana,56,NSD,NSD,62
Nebraska,38,NSD,NSD,39
Nevada,323,24,23,376
New Hampshire,140,NSD,NSD,145
New Jersey,251,55,30,339
New Mexico,111,NSD,NSD,266
New York,741,115,154,1029
North Carolina,711,NSD,NSD,750
North Dakota,11,NSD,NSD,17
Ohio,647,NSD,NSD,705
Oklahoma,423,NSD,NSD,492
Oregon,336,NSD,NSD,358
Pennsylvania,456,NSD,NSD,492
Rhode Island,79,NSD,NSD,87
South Carolina,178,NSD,NSD,199
South Dakota,14,NSD,NSD,20
Tennessee,459,NSD,NSD,479
Texas,748,75,174,1021
Utah,329,NSD,NSD,359
Vermont,51,NSD,NSD,52
Virginia,442,NSD,NSD,502
Washington,569,32,16,651
West Virginia,328,NSD,NSD,332
Wisconsin,315,32,16,371
Wyoming,23,NSD,NSD,25
