Location,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Alabama,29.0,38.0,41.0,52.0,44.0,56.0,42.0,34.0,66.0,72.0,58.0,96.0,72.0
Alaska,,,27.0,29.0,20.0,,17.0,,10.0,15.0,17.0,,15.0
Arizona,142.0,142.0,160.0,191.0,168.0,138.0,140.0,132.0,122.0,147.0,145.0,176.0,179.0
Arkansas,26.0,44.0,44.0,61.0,35.0,41.0,38.0,34.0,51.0,52.0,40.0,39.0,48.0
California,566.0,608.0,601.0,657.0,573.0,580.0,471.0,502.0,504.0,447.0,389.0,402.0,456.0
Colorado,102.0,112.0,107.0,106.0,90.0,98.0,97.0,100.0,106.0,94.0,103.0,93.0,96.0
Connecticut,64.0,68.0,69.0,54.0,76.0,51.0,52.0,114.0,147.0,176.0,218.0,210.0,230.0
Delaware,,,14.0,21.0,,33.0,23.0,,,33.0,37.0,59.0,69.0
District of Columbia,27.0,13.0,17.0,,14.0,19.0,18.0,15.0,27.0,35.0,,,44.0
Florida,348.0,395.0,439.0,480.0,452.0,460.0,397.0,361.0,332.0,384.0,541.0,653.0,653.0
Georgia,91.0,97.0,99.0,147.0,148.0,148.0,146.0,139.0,155.0,171.0,207.0,222.0,165.0
Hawaii,22.0,37.0,26.0,20.0,,24.0,,,18.0,10.0,10.0,,14.0
Idaho,16.0,,,,,19.0,,,,22.0,24.0,,21.0
Illinois,242.0,186.0,207.0,233.0,217.0,213.0,302.0,262.0,282.0,315.0,442.0,533.0,497.0
Indiana,44.0,49.0,68.0,100.0,77.0,94.0,83.0,77.0,102.0,106.0,168.0,228.0,197.0
Iowa,,39.0,34.0,32.0,51.0,46.0,52.0,41.0,42.0,41.0,47.0,57.0,21.0
Kansas,42.0,43.0,31.0,42.0,36.0,31.0,44.0,42.0,44.0,,29.0,35.0,32.0
Kentucky,67.0,74.0,94.0,134.0,158.0,192.0,212.0,184.0,186.0,229.0,243.0,278.0,215.0
Louisiana,45.0,44.0,38.0,37.0,31.0,,32.0,46.0,55.0,57.0,75.0,93.0,85.0
Maine,18.0,22.0,38.0,40.0,,,,,46.0,60.0,69.0,79.0,64.0
Maryland,184.0,195.0,158.0,185.0,156.0,165.0,194.0,210.0,249.0,286.0,480.0,471.0,488.0
Massachusetts,214.0,203.0,197.0,182.0,136.0,165.0,192.0,243.0,279.0,344.0,412.0,432.0,414.0
Michigan,192.0,163.0,208.0,228.0,206.0,192.0,192.0,232.0,257.0,305.0,381.0,432.0,434.0
Minnesota,54.0,56.0,76.0,71.0,67.0,78.0,69.0,83.0,71.0,71.0,78.0,99.0,71.0
Mississippi,,,,,,24.0,,,30.0,38.0,41.0,47.0,45.0
Missouri,105.0,116.0,131.0,137.0,145.0,156.0,134.0,161.0,177.0,150.0,171.0,162.0,186.0
Montana,12.0,26.0,23.0,38.0,10.0,,18.0,26.0,,14.0,,,
Nebraska,16.0,,11.0,26.0,14.0,16.0,12.0,13.0,11.0,,,,
Nevada,117.0,105.0,130.0,144.0,123.0,127.0,136.0,114.0,98.0,96.0,98.0,103.0,84.0
New Hampshire,30.0,39.0,31.0,35.0,,42.0,35.0,45.0,67.0,73.0,79.0,94.0,91.0
New Jersey,107.0,79.0,92.0,,102.0,121.0,166.0,178.0,189.0,210.0,328.0,480.0,568.0
New Mexico,77.0,79.0,100.0,53.0,44.0,57.0,71.0,84.0,93.0,89.0,67.0,69.0,67.0
New York,334.0,326.0,377.0,333.0,332.0,387.0,414.0,426.0,422.0,512.0,665.0,738.0,671.0
North Carolina,209.0,214.0,256.0,230.0,237.0,233.0,240.0,239.0,231.0,313.0,319.0,413.0,351.0
North Dakota,,,,,,,,,,,11.0,,
Ohio,197.0,239.0,212.0,189.0,320.0,408.0,373.0,455.0,490.0,569.0,750.0,894.0,610.0
Oklahoma,118.0,138.0,150.0,176.0,142.0,159.0,161.0,149.0,147.0,114.0,100.0,100.0,56.0
Oregon,133.0,125.0,101.0,122.0,93.0,96.0,107.0,69.0,78.0,77.0,67.0,60.0,59.0
Pennsylvania,94.0,136.0,180.0,153.0,151.0,180.0,193.0,209.0,222.0,265.0,427.0,463.0,550.0
Rhode Island,42.0,33.0,38.0,38.0,,,44.0,68.0,49.0,55.0,78.0,68.0,48.0
South Carolina,55.0,71.0,73.0,79.0,91.0,67.0,54.0,78.0,148.0,141.0,159.0,180.0,175.0
South Dakota,,,,10.0,,,,13.0,,,,,
Tennessee,141.0,130.0,146.0,153.0,201.0,188.0,203.0,210.0,263.0,297.0,297.0,306.0,299.0
Texas,310.0,282.0,244.0,313.0,298.0,278.0,269.0,236.0,249.0,275.0,286.0,288.0,270.0
Utah,87.0,76.0,111.0,87.0,74.0,89.0,118.0,98.0,99.0,82.0,91.0,80.0,94.0
Vermont,13.0,12.0,19.0,12.0,,13.0,,,,,,16.0,28.0
Virginia,117.0,134.0,126.0,132.0,110.0,152.0,150.0,151.0,176.0,171.0,225.0,269.0,240.0
Washington,220.0,205.0,249.0,213.0,207.0,194.0,206.0,166.0,188.0,177.0,149.0,168.0,139.0
West Virginia,76.0,89.0,102.0,60.0,114.0,157.0,131.0,132.0,159.0,171.0,176.0,187.0,154.0
Wisconsin,89.0,101.0,101.0,118.0,123.0,120.0,115.0,138.0,151.0,150.0,168.0,175.0,168.0
Wyoming,,,10.0,,14.0,,13.0,13.0,16.0,,,15.0,
