Location,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Alabama,16.0,15.0,15.0,18.0,15.0,20.0,16.0,27.0,53.0,36.0,51.0,72.0,72.0
Alaska,,,11.0,17.0,,,12.0,,14.0,18.0,15.0,,21.0
Arizona,72.0,63.0,82.0,88.0,118.0,118.0,111.0,106.0,168.0,148.0,170.0,228.0,227.0
Arkansas,15.0,14.0,13.0,17.0,24.0,15.0,29.0,34.0,24.0,39.0,37.0,38.0,34.0
California,306.0,321.0,408.0,477.0,502.0,471.0,475.0,577.0,648.0,660.0,668.0,671.0,686.0
Colorado,35.0,60.0,70.0,61.0,47.0,75.0,78.0,94.0,109.0,112.0,100.0,124.0,137.0
Connecticut,18.0,13.0,20.0,24.0,21.0,24.0,24.0,75.0,70.0,132.0,157.0,164.0,186.0
Delaware,,,,,,14.0,11.0,,,16.0,20.0,38.0,65.0
District of Columbia,,,10.0,,,17.0,11.0,30.0,24.0,45.0,,,101.0
Florida,140.0,206.0,182.0,234.0,273.0,264.0,287.0,274.0,295.0,376.0,479.0,587.0,611.0
Georgia,30.0,45.0,51.0,73.0,79.0,64.0,86.0,99.0,121.0,152.0,193.0,181.0,183.0
Hawaii,,13.0,10.0,14.0,,24.0,,,21.0,28.0,30.0,27.0,18.0
Idaho,,,,,,14.0,,,,12.0,27.0,,27.0
Illinois,60.0,70.0,81.0,86.0,91.0,105.0,138.0,166.0,200.0,254.0,349.0,442.0,462.0
Indiana,13.0,22.0,33.0,43.0,28.0,46.0,49.0,44.0,64.0,71.0,114.0,160.0,181.0
Iowa,,10.0,19.0,19.0,14.0,26.0,29.0,36.0,31.0,35.0,30.0,39.0,25.0
Kansas,12.0,,17.0,19.0,11.0,19.0,24.0,29.0,43.0,,42.0,40.0,33.0
Kentucky,25.0,33.0,31.0,45.0,54.0,73.0,98.0,104.0,135.0,119.0,144.0,150.0,158.0
Louisiana,16.0,16.0,14.0,13.0,13.0,,30.0,46.0,48.0,54.0,55.0,65.0,77.0
Maine,10.0,,,13.0,,,,,24.0,35.0,35.0,46.0,41.0
Maryland,49.0,51.0,71.0,88.0,52.0,72.0,98.0,124.0,177.0,209.0,363.0,421.0,521.0
Massachusetts,54.0,68.0,50.0,80.0,77.0,84.0,85.0,110.0,143.0,174.0,286.0,296.0,317.0
Michigan,50.0,52.0,82.0,103.0,111.0,97.0,106.0,164.0,206.0,253.0,326.0,412.0,443.0
Minnesota,13.0,29.0,25.0,46.0,35.0,60.0,58.0,55.0,59.0,73.0,60.0,72.0,58.0
Mississippi,,,,,,,,,23.0,24.0,42.0,38.0,36.0
Missouri,29.0,45.0,51.0,61.0,65.0,69.0,78.0,90.0,103.0,131.0,134.0,151.0,184.0
Montana,,,,,,,,,,,11.0,12.0,18.0
Nebraska,,,,11.0,,10.0,,10.0,,,10.0,,17.0
Nevada,49.0,59.0,66.0,87.0,104.0,104.0,119.0,111.0,114.0,133.0,126.0,123.0,129.0
New Hampshire,,18.0,14.0,18.0,,27.0,13.0,27.0,40.0,38.0,45.0,48.0,48.0
New Jersey,32.0,29.0,34.0,,48.0,59.0,68.0,89.0,111.0,118.0,203.0,334.0,437.0
New Mexico,38.0,38.0,41.0,26.0,29.0,50.0,65.0,68.0,85.0,64.0,76.0,68.0,85.0
New York,120.0,144.0,172.0,157.0,172.0,203.0,272.0,336.0,311.0,368.0,538.0,606.0,631.0
North Carolina,47.0,71.0,78.0,95.0,108.0,107.0,131.0,118.0,147.0,183.0,209.0,257.0,257.0
North Dakota,,,,,,,,,,,,,
Ohio,46.0,73.0,108.0,82.0,152.0,172.0,168.0,241.0,328.0,394.0,555.0,664.0,529.0
Oklahoma,35.0,59.0,44.0,95.0,90.0,77.0,108.0,127.0,134.0,108.0,119.0,97.0,89.0
Oregon,49.0,54.0,52.0,64.0,67.0,80.0,71.0,83.0,90.0,94.0,75.0,97.0,89.0
Pennsylvania,17.0,52.0,60.0,77.0,74.0,87.0,96.0,135.0,149.0,190.0,300.0,353.0,473.0
Rhode Island,12.0,12.0,23.0,20.0,,,27.0,28.0,39.0,58.0,47.0,50.0,63.0
South Carolina,31.0,30.0,35.0,37.0,37.0,32.0,46.0,45.0,128.0,131.0,119.0,138.0,168.0
South Dakota,,,,,,,,,,,10.0,11.0,
Tennessee,47.0,54.0,61.0,71.0,80.0,85.0,116.0,157.0,141.0,205.0,234.0,248.0,229.0
Texas,112.0,114.0,112.0,162.0,180.0,179.0,192.0,210.0,234.0,279.0,302.0,307.0,325.0
Utah,36.0,40.0,34.0,39.0,35.0,51.0,66.0,68.0,85.0,102.0,84.0,107.0,98.0
Vermont,,,11.0,,,,,,,,,18.0,15.0
Virginia,25.0,33.0,39.0,53.0,36.0,63.0,55.0,100.0,116.0,115.0,172.0,195.0,196.0
Washington,101.0,102.0,119.0,148.0,135.0,153.0,171.0,159.0,172.0,182.0,203.0,188.0,198.0
West Virginia,20.0,22.0,35.0,19.0,53.0,59.0,56.0,70.0,88.0,113.0,111.0,143.0,113.0
Wisconsin,44.0,34.0,48.0,73.0,65.0,72.0,86.0,103.0,117.0,112.0,148.0,156.0,155.0
Wyoming,,,,,,11.0,10.0,,12.0,12.0,13.0,,15.0
