Location,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Alabama,124.0,165,185,206,187,176,165.0,166,270,282,343,422,381
Alaska,29.0,15,88,90,62,66,81.0,69,76,86,94,102,68
Arizona,459.0,461,494,605,626,562,526.0,527,589,671,769,928,1106
Arkansas,140.0,148,197,201,189,169,169.0,162,173,203,169,188,208
California,1511.0,1657,1801,1987,1929,1938,1719.0,1948,2024,2018,2012,2199,2410
Colorado,326.0,353,355,397,304,418,407.0,433,517,495,536,578,564
Connecticut,224.0,244,230,216,223,209,201.0,439,525,685,855,955,948
Delaware,37.0,45,65,81,103,113,82.0,113,124,133,154,250,355
District of Columbia,55.0,29,31,13,34,51,44.0,60,63,98,209,244,191
Florida,1223.0,1473,1478,1590,1674,1576,1326.0,1268,1399,1838,2798,3245,3189
Georgia,331.0,385,404,490,534,535,536.0,530,710,858,918,1014,866
Hawaii,54.0,78,53,57,74,77,62.0,69,59,62,77,53,59
Idaho,70.0,62,72,62,79,77,59.0,77,78,90,119,103,120
Illinois,870.0,691,846,886,867,907,1151.0,1072,1205,1381,1947,2202,2169
Indiana,176.0,241,311,319,289,356,375.0,360,462,535,794,1176,1104
Iowa,93.0,107,127,141,147,172,171.0,179,158,170,183,206,143
Kansas,120.0,117,96,148,104,118,171.0,158,173,150,146,144,156
Kentucky,331.0,343,365,434,591,669,673.0,665,729,885,989,1160,989
Louisiana,194.0,212,130,122,123,116,169.0,265,260,287,346,415,444
Maine,93.0,102,105,114,90,85,100.0,125,171,238,301,360,282
Maryland,565.0,600,513,586,509,546,657.0,749,921,1087,1821,1985,2087
Massachusetts,659.0,649,596,622,549,655,691.0,888,1140,1550,1990,1913,1991
Michigan,594.0,506,643,736,695,714,685.0,909,1052,1309,1762,2033,2011
Minnesota,158.0,180,227,272,235,286,290.0,305,318,338,396,422,343
Mississippi,65.0,95,106,96,100,79,111.0,100,115,150,180,185,173
Missouri,403.0,390,475,526,599,595,539.0,620,696,692,914,952,1132
Montana,47.0,62,70,89,54,63,51.0,67,53,48,42,38,64
Nebraska,34.0,39,29,66,58,53,53.0,41,56,55,44,59,63
Nevada,343.0,376,397,439,439,461,446.0,398,375,419,408,412,372
New Hampshire,104.0,145,94,126,116,154,133.0,157,297,380,437,424,412
New Jersey,372.0,339,331,55,373,454,602.0,675,728,862,1409,1969,2583
New Mexico,243.0,266,324,200,191,243,319.0,322,402,351,349,332,338
New York,1010.0,1029,1116,1058,1074,1356,1530.0,1681,1739,2166,3009,3224,2991
North Carolina,696.0,750,846,857,776,822,833.0,834,967,1171,1506,1953,1783
North Dakota,,17,32,17,18,10,,11,31,34,54,35,36
Ohio,634.0,705,814,664,1124,1272,1355.0,1630,2106,2698,3613,4293,3237
Oklahoma,383.0,492,410,568,510,483,531.0,511,502,427,444,388,308
Oregon,359.0,358,342,368,332,392,361.0,301,340,331,312,344,339
Pennsylvania,418.0,492,611,637,629,752,827.0,958,1092,1362,2235,2548,2866
Rhode Island,130.0,87,133,115,111,142,140.0,190,205,254,279,277,267
South Carolina,214.0,199,218,238,271,243,237.0,247,515,554,628,749,835
South Dakota,23.0,20,31,35,32,34,24.0,34,33,27,42,35,28
Tennessee,470.0,479,480,535,633,633,723.0,767,863,1038,1186,1269,1307
Texas,1067.0,1021,944,1151,1123,1178,1131.0,1053,1151,1287,1375,1458,1402
Utah,331.0,359,350,370,336,381,422.0,432,455,448,466,456,437
Vermont,57.0,52,57,39,43,55,55.0,70,64,79,101,114,127
Virginia,408.0,502,490,477,389,575,533.0,640,758,820,1130,1241,1193
Washington,661.0,651,690,708,628,697,695.0,640,673,692,709,742,737
West Virginia,285.0,332,371,184,451,550,468.0,490,554,629,733,833,702
Wisconsin,334.0,371,369,397,415,473,483.0,599,627,622,866,926,846
Wyoming,14.0,25,40,32,47,43,45.0,48,54,46,50,47,40
