Location,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Alabama,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,53,66,62.0
Alaska,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,
Arizona,19,13,14,14,19,11,16,NSD,16,23,21,40,53.0
Arkansas,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,14,19.0
California,86,88,101,120,130,121,95,127,135,126,137,147,195.0
Colorado,NSD,19,17,19,10,13,10,NSD,19,18,11,16,22.0
Connecticut,12,14,12,10,10,NSD,NSD,28,21,35,54,69,90.0
Delaware,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,17,40,51.0
District of Columbia,NSD,NSD,NSD,NSD,NSD,NSD,34,NSD,NSD,NSD,177,216,170.0
Florida,43,45,41,52,54,57,51,49,48,69,147,203,189.0
Georgia,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,71,103,109,137,129.0
Hawaii,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,
Idaho,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,
Illinois,268,148,149,156,124,145,182,188,225,219,438,533,598.0
Indiana,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,22,NSD,69,124,108.0
Iowa,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,10,21,12.0
Kansas,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,
Kentucky,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,58,58,53.0
Louisiana,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,33,64,62,79.0
Maine,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,
Maryland,NSD,NSD,NSD,NSD,NSD,NSD,NSD,176,259,291,560,573,709.0
Massachusetts,35,23,28,33,22,21,26,36,40,65,82,108,87.0
Michigan,91,62,85,113,80,85,78,111,156,181,269,353,426.0
Minnesota,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,43,51,62.0
Mississippi,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,19,16,13.0
Missouri,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,194,221,287.0
Montana,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,
Nebraska,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,
Nevada,16,24,26,23,26,27,30,26,23,24,31,31,37.0
New Hampshire,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,
New Jersey,62,55,38,NSD,47,45,61,86,83,102,193,338,459.0
New Mexico,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,
New York,147,115,104,94,97,115,140,146,150,182,338,390,364.0
North Carolina,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,103,132,192,206.0
North Dakota,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,
Ohio,NSD,NSD,NSD,45,77,95,96,132,162,223,322,487,402.0
Oklahoma,NSD,NSD,NSD,18,NSD,NSD,17,18,21,17,23,18,13.0
Oregon,NSD,NSD,NSD,NSD,NSD,10,NSD,NSD,NSD,NSD,NSD,15,18.0
Pennsylvania,25,NSD,45,33,NSD,47,42,48,60,90,152,184,350.0
Rhode Island,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,12,10,NSD,17,16.0
South Carolina,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,41,75,99.0
South Dakota,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,
Tennessee,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,66,111,134,132.0
Texas,74,75,33,69,62,82,82,72,89,85,101,121,134.0
Utah,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,
Vermont,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,
Virginia,NSD,NSD,NSD,NSD,NSD,NSD,NSD,70,91,116,188,218,221.0
Washington,30,32,25,27,25,30,24,27,36,27,32,42,41.0
West Virginia,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,34,37,42.0
Wisconsin,25,32,35,39,31,49,45,49,67,77,82,97,96.0
Wyoming,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,
