Location,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Alabama,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,
Alaska,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,
Arizona,73,77,60,92,91,91,81,NSD,113,127,168,242,304.0
Arkansas,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,
California,295,306,326,365,302,315,298,383,381,372,372,483,573.0
Colorado,NSD,42,56,71,45,79,60,NSD,86,84,105,107,132.0
Connecticut,19,25,26,24,19,NSD,NSD,46,58,67,111,114,119.0
Delaware,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,11,15.0
District of Columbia,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,
Florida,72,124,130,118,115,127,115,114,144,211,407,417,405.0
Georgia,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,10,15,18,16,18.0
Hawaii,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,
Idaho,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,
Illinois,77,54,78,69,68,76,94,105,91,110,204,212,220.0
Indiana,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,11,NSD,15,41,25.0
Iowa,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,
Kansas,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,11,
Kentucky,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,12,10,18.0
Louisiana,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,12,14,16,18.0
Maine,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,
Maryland,NSD,NSD,NSD,NSD,NSD,NSD,NSD,10,18,17,47,50,48.0
Massachusetts,53,45,39,37,33,36,42,62,86,122,214,225,252.0
Michigan,14,18,19,25,35,18,35,44,44,49,80,90,88.0
Minnesota,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,14,10.0
Mississippi,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,
Missouri,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,13,13,14.0
Montana,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,
Nebraska,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,
Nevada,12,23,24,29,31,40,30,35,24,37,27,42,32.0
New Hampshire,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,11,11,13.0
New Jersey,30,30,27,NSD,34,43,63,67,77,113,180,245,341.0
New Mexico,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,205,176,192.0
New York,167,154,175,148,120,168,196,238,201,307,473,517,541.0
North Carolina,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,19,31,49,46.0
North Dakota,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,
Ohio,NSD,NSD,NSD,15,19,18,28,25,38,56,63,93,84.0
Oklahoma,NSD,NSD,NSD,13,NSD,NSD,13,15,12,12,11,19,13.0
Oregon,NSD,NSD,NSD,NSD,NSD,12,NSD,NSD,NSD,NSD,20,16,25.0
Pennsylvania,13,NSD,17,11,NSD,12,26,28,39,41,60,103,223.0
Rhode Island,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,21,30,22,28,26.0
South Carolina,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,16,
South Dakota,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,
Tennessee,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,18,20,17,28.0
Texas,183,174,171,224,223,262,266,247,243,281,329,307,329.0
Utah,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,30,30,35.0
Vermont,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,
Virginia,NSD,NSD,NSD,NSD,NSD,NSD,NSD,11,14,20,31,45,48.0
Washington,20,16,27,17,20,29,19,22,25,37,44,35,49.0
West Virginia,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,
Wisconsin,10,16,13,10,17,19,17,28,26,21,47,57,37.0
Wyoming,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,
