Medicare Part D Opioid Prescribing Rates from Calendar Year 2014 - State ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Urban and rural totals differ slightly from overall totals due to inability to map a small number of provider ZIP codes to the  United States Department of Agriculture (USDA) 2010 Rural-Urban Commuting Area Codes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Calendar Year 2014 ,,,,,,,,,,,,,,,,,,,,,Change in Opioid Prescribing Rates 2013 to 2014 ,,,,,
State Name,State Abbreviation,State FIPS,Part D Prescribers,Urban Part D Prescribers,Rural Part D Prescribers,Part D Opioid Prescribers,Urban Part D Opioid Prescribers,Rural Part D Opioid Prescribers,Opioid Claims,Urban Opioid Claims,Rural Opioid Claims,Long-Acting Opioid Claims,Urban Long-Acting Opioid Claims,Rural Long-Acting Opioid Claims,Overall Claims,Urban Overall Claims,Rural Overall Claims,Opioid Prescribing Rate,Urban Opioid Prescribing Rate,Rural Opioid Prescribing Rate,Long-Acting Opioid Prescribing Rate,Urban Long-Acting Opioid Prescribing Rate,Rural Long-Acting Opioid Prescribing Rate,Change in Opioid Prescribing Rate,Change in Urban Opioid Prescribing Rate,Change in Rural Opioid Prescribing Rate,Change in Long-Acting Opioid Prescribing Rate ,Change in Urban Long-Acting Opioid Prescribing Rate ,Change in Rural Long-Acting Opioid Prescribing Rate 
National,,,"1,061,353","940,011","120,120","497,681","427,574","69,536","79,371,415","63,581,799","15,702,854","9,969,580","8,126,271","1,829,421","1,386,289,751","1,121,737,542","263,114,284",5.73,5.67,5.97,12.56,12.78,11.65,-0.07,-0.07,-0.09,0.02,0.03,-0.03
Alabama ,AL ,01,"13,099","11,129","1,960","7,416","6,093","1,316","2,260,622","1,719,572","538,697","217,865","178,439","39,276","28,850,491","21,558,748","7,270,834",7.84,7.98,7.41,9.64,10.38,7.29,0.10,0.13,0.00,0.04,0.13,-0.35
Alaska ,AK ,02,"2,293","1,488",806,"1,096",657,440,"93,052","53,400","39,886","18,210","10,405","7,799","1,384,380","864,833","526,148",6.72,6.17,7.58,19.57,19.49,19.55,-0.01,0.19,-0.32,0.50,1.59,-0.86
Arizona ,AZ ,04,"21,253","19,319","1,772","10,821","9,699","1,034","1,635,273","1,433,684","191,104","257,391","227,260","29,459","23,454,019","20,813,637","2,441,311",6.97,6.89,7.83,15.74,15.85,15.42,0.00,0.01,0.03,-0.10,-0.19,0.47
Arkansas ,AR ,05,"8,010","5,939","2,066","4,763","3,326","1,433","1,146,164","708,793","435,433","105,537","75,018","30,271","17,301,516","10,237,131","7,053,502",6.62,6.92,6.17,9.21,10.58,6.95,-0.11,-0.09,-0.15,0.03,0.06,-0.11
California ,CA ,06,"111,391","106,966","4,378","50,485","47,951","2,514","7,317,333","6,764,588","550,627","856,777","773,672","82,872","134,377,442","127,675,796","6,660,747",5.45,5.30,8.27,11.71,11.44,15.05,-0.02,-0.02,-0.04,0.10,0.12,-0.12
Colorado ,CO ,08,"18,116","16,048","2,060","9,249","8,047","1,197","1,154,427","1,004,831","149,140","177,609","155,044","22,565","15,685,452","13,557,986","2,118,380",7.36,7.41,7.04,15.39,15.43,15.13,-0.14,-0.15,-0.12,-0.54,-0.57,-0.33
Connecticut ,CT ,09,"16,505","16,047",452,"6,451","6,235",216,"683,794","652,603","31,191","111,918","107,212","4,706","15,278,380","14,636,306","637,913",4.48,4.46,4.89,16.37,16.43,15.09,-0.02,-0.02,-0.17,-0.22,-0.25,0.18
Delaware ,DE ,10,"3,270","2,811",452,"1,577","1,319",253,"236,474","178,189","57,889","45,871","33,190","12,602","3,633,627","2,780,935","843,246",6.51,6.41,6.87,19.40,18.63,21.77,-0.06,0.03,-0.39,0.51,0.61,0.30
District of Columbia ,DC ,11,"4,503","4,426",0,"1,409","1,389",0,"85,302","83,812",0,"9,058","8,774",0,"1,975,722","1,953,018",0,4.32,4.29,0.00,10.62,10.47,0.00,0.00,0.04,0.00,-0.46,-0.34,0.00
Florida ,FL ,12,"63,155","62,020","1,115","28,509","27,870",621,"5,430,401","5,275,481","153,234","709,711","694,404","15,187","103,497,628","100,973,899","2,501,285",5.25,5.22,6.13,13.07,13.16,9.91,0.04,0.04,0.12,0.33,0.30,1.15
Georgia ,GA ,13,"26,469","23,274","3,162","13,460","11,507","1,933","2,756,025","2,141,214","612,767","280,025","230,899","48,843","43,782,073","33,268,781","10,488,738",6.29,6.44,5.84,10.16,10.78,7.97,-0.27,-0.26,-0.27,0.04,0.03,0.00
Hawaii ,HI ,15,"4,070","3,324",738,"1,662","1,296",363,"168,141","112,989","55,065","23,360","14,224","9,125","4,405,235","3,394,872","1,009,634",3.82,3.33,5.45,13.89,12.59,16.57,-0.05,-0.08,0.07,-0.44,-0.40,-0.57
Idaho ,ID ,16,"4,877","3,691","1,176","2,726","2,001",721,"441,839","310,080","130,865","73,010","49,992","22,855","5,746,744","3,951,992","1,781,231",7.69,7.85,7.35,16.52,16.12,17.46,-0.02,0.00,-0.06,-0.04,-0.10,0.14
Illinois ,IL ,17,"43,078","39,781","3,272","18,484","16,583","1,887","2,392,515","1,955,917","433,331","245,437","195,744","49,385","49,325,470","40,542,843","8,706,341",4.85,4.82,4.98,10.26,10.01,11.40,-0.13,-0.14,-0.09,-0.01,0.02,-0.16
