State Name,State Abbreviation,State FIPS,Part D Prescribers,Urban Part D Prescribers,Rural Part D Prescribers,Part D Opioid Prescribers,Urban Part D Opioid Prescribers,Rural Part D Opioid Prescribers,Opioid Claims,Urban Opioid Claims,Rural Opioid Claims,Long-Acting Opioid Claims,Urban Long-Acting Opioid Claims,Rural Long-Acting Opioid Claims,Overall Claims,Urban Overall Claims,Rural Overall Claims,Opioid Prescribing Rate,Urban Opioid Prescribing Rate,Rural Opioid Prescribing Rate,Long-Acting Opioid Prescribing Rate,Urban Long-Acting Opioid Prescribing Rate,Rural Long-Acting Opioid Prescribing Rate,Change in Opioid Prescribing Rate,Change in Urban Opioid Prescribing Rate,Change in Rural Opioid Prescribing Rate,Change in Long-Acting Opioid Prescribing Rate ,Change in Urban Long-Acting Opioid Prescribing Rate ,Change in Rural Long-Acting Opioid Prescribing Rate 
National,,,"1,151,845","1,023,359","127,209","488,001","420,174","67,306","74,104,230","60,218,168","13,802,209","9,093,394","7,549,224","1,531,630","1,466,300,795","1,197,473,532","267,342,598",5.05,5.03,5.16,12.27,12.54,11.1,-0.75,-0.71,-0.9,-0.27,-0.21,-0.58
Alabama ,AL ,1,"14,426","12,322","2,093","6,878","5,723","1,150","2,042,805","1,562,428","478,612","188,464","150,915","37,495","28,477,231","21,525,066","6,932,641",7.17,7.26,6.9,9.23,9.66,7.83,-0.57,-0.59,-0.51,-0.37,-0.59,0.19
Alaska ,AK ,2,"2,475","1,620",856,993,607,387,"75,776","44,899","30,896","14,499","8,103","6,396","1,237,251","775,673","460,978",6.12,5.79,6.7,19.13,18.05,20.7,-0.61,-0.19,-1.2,0.06,0.15,0.29
Arizona ,AZ ,4,"23,073","21,112","1,837","10,691","9,660",971,"1,534,577","1,344,504","183,751","238,117","207,320","30,510","25,197,728","22,509,294","2,547,418",6.09,5.97,7.21,15.52,15.42,16.6,-0.88,-0.91,-0.59,-0.32,-0.62,1.65
Arkansas ,AR ,5,"8,995","6,686","2,301","4,890","3,396","1,490","1,124,700","740,311","382,276","105,833","79,388","26,288","18,236,354","11,234,314","6,993,169",6.17,6.59,5.47,9.41,10.72,6.88,-0.56,-0.42,-0.85,0.23,0.2,-0.18
California ,CA ,6,"119,867","115,376","4,452","49,839","47,476","2,346","6,702,051","6,226,158","473,850","774,649","709,512","64,931","139,100,291","132,461,615","6,593,507",4.82,4.7,7.19,11.56,11.4,13.7,-0.65,-0.62,-1.12,-0.05,0.08,-1.47
Colorado ,CO ,8,"20,096","17,898","2,190","9,628","8,419","1,207","1,108,954","969,346","139,365","164,438","145,644","18,777","16,962,050","14,662,292","2,291,251",6.54,6.61,6.08,14.83,15.02,13.47,-0.96,-0.95,-1.08,-1.1,-0.98,-1.99
Connecticut ,CT ,9,"17,461","17,023",431,"6,055","5,874",180,"623,160","598,807","24,328","97,917","94,419","3,498","16,632,214","15,997,715","629,764",3.75,3.74,3.86,15.71,15.77,14.38,-0.75,-0.74,-1.2,-0.88,-0.91,-0.53
Delaware ,DE ,10,"3,530","3,053",474,"1,547","1,291",256,"218,573","169,950","48,630","42,485","32,781","9,704","4,049,966","3,139,842","909,871",5.4,5.41,5.34,19.44,19.29,19.95,-1.17,-0.97,-1.92,0.55,1.27,-1.52
District of Columbia ,DC ,11,"4,880","4,806",0,"1,320","1,306",0,"75,169","74,684",0,"7,031","6,957",0,"2,066,280","2,050,753",0,3.64,3.64,0,9.35,9.32,0,-0.68,-0.61,0,-1.73,-1.49,0
Florida ,FL ,12,"70,951","69,760","1,181","27,967","27,424",534,"5,511,391","5,364,506","145,204","760,196","746,168","13,672","107,539,136","105,011,332","2,503,934",5.13,5.11,5.8,13.79,13.91,9.42,-0.08,-0.07,-0.21,1.05,1.05,0.66
Georgia ,GA ,13,"29,468","25,948","3,489","13,526","11,574","1,937","2,758,258","2,174,880","581,051","290,089","242,706","47,239","48,338,779","36,817,750","11,475,308",5.71,5.91,5.06,10.52,11.16,8.13,-0.85,-0.79,-1.05,0.4,0.41,0.16
Hawaii ,HI ,15,"4,283","3,474",804,"1,655","1,288",364,"151,575","102,392","49,037","20,159","12,117","8,042","4,031,951","3,113,306","914,725",3.76,3.29,5.36,13.3,11.83,16.4,-0.11,-0.12,-0.02,-1.03,-1.16,-0.74
Idaho ,ID ,16,"5,318","4,091","1,221","2,872","2,165",704,"435,492","317,532","117,345","69,176","49,974","19,139","6,280,236","4,442,947","1,828,405",6.93,7.15,6.42,15.88,15.74,16.31,-0.78,-0.7,-0.99,-0.68,-0.48,-1.01
Illinois ,IL ,17,"46,821","43,256","3,533","18,859","16,887","1,957","2,300,359","1,904,235","391,891","223,688","181,906","41,178","52,093,404","43,487,241","8,539,115",4.42,4.38,4.59,9.72,9.55,10.51,-0.56,-0.58,-0.48,-0.55,-0.44,-1.05
Indiana ,IN ,18,"21,835","18,437","3,392","10,661","8,840","1,818","1,978,504","1,571,904","407,202","223,666","183,318","40,706","34,310,836","26,442,766","7,859,175",5.77,5.94,5.18,11.3,11.66,10,-1.13,-1.13,-1.21,-1.8,-1.79,-1.96
Iowa ,IA ,19,"10,772","7,489","3,281","5,112","3,313","1,800","714,914","406,187","308,949","95,163","50,002","45,161","16,876,822","9,353,470","7,531,082",4.24,4.34,4.1,13.31,12.31,14.62,-0.65,-0.76,-0.54,-0.55,-1.06,0.16
Kansas ,KS ,20,"10,017","7,201","2,817","4,989","3,388","1,599","808,459","498,140","309,963","114,080","66,765","47,315","14,198,440","8,446,311","5,751,643",5.69,5.9,5.39,14.11,13.4,15.26,-0.67,-0.61,-0.77,0.05,-0.09,0.42
Kentucky ,KY ,21,"16,233","10,649","5,505","6,908","4,270","2,607","1,639,196","851,256","786,757","127,383","81,290","46,098","31,044,772","15,246,953","15,780,519",5.28,5.58,4.99,7.77,9.55,5.86,-0.93,-0.97,-0.91,-1.15,-1.69,-0.72
Louisiana ,LA ,22,"16,607","15,081","1,525","7,910","7,010",901,"1,475,626","1,271,758","204,714","122,868","112,094","10,935","26,798,441","21,992,999","4,804,687",5.51,5.78,4.26,8.33,8.81,5.34,-0.83,-0.79,-1.07,0.45,0.33,0.67
Maine ,ME ,23,"6,112","3,763","2,351","2,788","1,595","1,193","346,594","159,110","187,159","61,506","23,304","38,164","6,947,213","3,521,242","3,420,427",4.99,4.52,5.47,17.75,14.65,20.39,-1.3,-1.9,-0.69,0.1,-2.68,2.4
Maryland ,MD ,24,"23,234","22,620",601,"8,970","8,653",312,"1,019,997","972,411","47,798","176,680","170,145","6,568","19,128,883","18,077,324","1,054,156",5.33,5.38,4.53,17.32,17.5,13.74,-0.7,-0.69,-0.98,0.87,0.91,-0.1
Massachusetts ,MA ,25,"35,730","35,120",563,"12,505","12,239",254,"1,218,098","1,187,888","29,350","182,385","177,458","4,817","35,044,341","34,173,667","832,332",3.48,3.48,3.53,14.97,14.94,16.41,-0.99,-0.98,-1.39,0.1,0.09,0.7
Michigan ,MI ,26,"41,812","36,728","5,077","19,608","16,898","2,705","3,144,442","2,591,743","551,213","372,204","292,188","79,850","50,661,965","41,629,568","9,009,685",6.21,6.23,6.12,11.84,11.27,14.49,-1.25,-1.24,-1.33,-0.31,0.02,-1.58
