Location,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic,Total
United States,35363,6088,4370,46802
Alabama,314,62,N/A,381
Alaska,50,N/A,N/A,68
Arizona,691,53,304,1106
Arkansas,187,19,N/A,208
California,1518,195,573,2410
Colorado,400,22,132,564
Connecticut,731,90,119,948
Delaware,285,51,15,355
District of Columbia,19,170,N/A,191
Florida,2558,189,405,3189
Georgia,713,129,18,866
Hawaii,37,N/A,N/A,59
Idaho,111,N/A,N/A,120
Illinois,1316,598,220,2169
Indiana,968,108,25,1104
Iowa,123,12,N/A,143
Kansas,140,N/A,N/A,156
Kentucky,913,53,18,989
Louisiana,344,79,18,444
Maine,258,N/A,N/A,282
Maryland,1309,709,48,2087
Massachusetts,1593,87,252,1991
Michigan,1456,426,88,2011
Minnesota,242,62,10,343
Mississippi,158,13,N/A,173
Missouri,820,287,14,1132
Montana,54,N/A,N/A,64
Nebraska,58,N/A,N/A,63
Nevada,290,37,32,372
New Hampshire,388,N/A,13,412
New Jersey,1760,459,341,2583
New Mexico,125,N/A,192,338
New York,1982,364,541,2991
North Carolina,1489,206,46,1783
North Dakota,29,N/A,N/A,36
Ohio,2733,402,84,3237
Oklahoma,245,13,13,308
Oregon,283,18,25,339
Pennsylvania,2267,350,223,2866
Rhode Island,218,16,26,267
South Carolina,721,99,N/A,835
South Dakota,25,N/A,N/A,28
Tennessee,1136,132,28,1307
Texas,915,134,329,1402
Utah,387,N/A,35,437
Vermont,121,N/A,N/A,127
Virginia,906,221,48,1193
Washington,595,41,49,737
West Virginia,655,42,N/A,702
Wisconsin,689,96,37,846
Wyoming,38,N/A,N/A,40
